ninodes       = 32768
nzones        = 16384
imap_blocks   = 2
zmap_blocks   = 1
firstdatazone = 517
log_zone_size = 0
maxsize       = 2147483647
block size    = 4096


 inode permission link   size name
   165 brw-------   1    3,1e /dev/c0d6
   166 brw-------   1    3,1f /dev/c0d6p0
   167 brw-------   1    3,e0 /dev/c0d6p0s0
   168 brw-------   1    3,e1 /dev/c0d6p0s1
   169 brw-------   1    3,e2 /dev/c0d6p0s2
   170 brw-------   1    3,e3 /dev/c0d6p0s3
   171 brw-------   1    3,20 /dev/c0d6p1
   172 brw-------   1    3,e4 /dev/c0d6p1s0
   173 brw-------   1    3,e5 /dev/c0d6p1s1
   174 brw-------   1    3,e6 /dev/c0d6p1s2
   175 brw-------   1    3,e7 /dev/c0d6p1s3
   176 brw-------   1    3,21 /dev/c0d6p2
   177 brw-------   1    3,e8 /dev/c0d6p2s0
   178 brw-------   1    3,e9 /dev/c0d6p2s1
   179 brw-------   1    3,ea /dev/c0d6p2s2
   180 brw-------   1    3,eb /dev/c0d6p2s3
   181 brw-------   1    3,22 /dev/c0d6p3
   182 brw-------   1    3,ec /dev/c0d6p3s0
   183 brw-------   1    3,ed /dev/c0d6p3s1
   184 brw-------   1    3,ee /dev/c0d6p3s2
   185 brw-------   1    3,ef /dev/c0d6p3s3
   186 brw-------   1    3,23 /dev/c0d7
   187 brw-------   1    3,24 /dev/c0d7p0
   188 brw-------   1    3,f0 /dev/c0d7p0s0
   189 brw-------   1    3,f1 /dev/c0d7p0s1
   190 brw-------   1    3,f2 /dev/c0d7p0s2
   191 brw-------   1    3,f3 /dev/c0d7p0s3
   192 brw-------   1    3,25 /dev/c0d7p1
   193 brw-------   1    3,f4 /dev/c0d7p1s0
   194 brw-------   1    3,f5 /dev/c0d7p1s1
   195 brw-------   1    3,f6 /dev/c0d7p1s2
   196 brw-------   1    3,f7 /dev/c0d7p1s3
   197 brw-------   1    3,26 /dev/c0d7p2
   198 brw-------   1    3,f8 /dev/c0d7p2s0
   199 brw-------   1    3,f9 /dev/c0d7p2s1
   200 brw-------   1    3,fa /dev/c0d7p2s2
   201 brw-------   1    3,fb /dev/c0d7p2s3
   202 brw-------   1    3,27 /dev/c0d7p3
   203 brw-------   1    3,fc /dev/c0d7p3s0
   204 brw-------   1    3,fd /dev/c0d7p3s1
   205 brw-------   1    3,fe /dev/c0d7p3s2
   206 brw-------   1    3,ff /dev/c0d7p3s3
   207 brw-------   1    8, 0 /dev/c1d0
   208 brw-------   1    8, 1 /dev/c1d0p0
   209 brw-------   1    8,80 /dev/c1d0p0s0
   210 brw-------   1    8,81 /dev/c1d0p0s1
   211 brw-------   1    8,82 /dev/c1d0p0s2
   212 brw-------   1    8,83 /dev/c1d0p0s3
   213 brw-------   1    8, 2 /dev/c1d0p1
   214 brw-------   1    8,84 /dev/c1d0p1s0
   215 brw-------   1    8,85 /dev/c1d0p1s1
   216 brw-------   1    8,86 /dev/c1d0p1s2
   217 brw-------   1    8,87 /dev/c1d0p1s3
   218 brw-------   1    8, 3 /dev/c1d0p2
   219 brw-------   1    8,88 /dev/c1d0p2s0
   220 brw-------   1    8,89 /dev/c1d0p2s1
   221 brw-------   1    8,8a /dev/c1d0p2s2
   222 brw-------   1    8,8b /dev/c1d0p2s3
   223 brw-------   1    8, 4 /dev/c1d0p3
   224 brw-------   1    8,8c /dev/c1d0p3s0
   225 brw-------   1    8,8d /dev/c1d0p3s1
   226 brw-------   1    8,8e /dev/c1d0p3s2
   227 brw-------   1    8,8f /dev/c1d0p3s3
   228 brw-------   1    8, 5 /dev/c1d1
   229 brw-------   1    8, 6 /dev/c1d1p0
   230 brw-------   1    8,90 /dev/c1d1p0s0
   231 brw-------   1    8,91 /dev/c1d1p0s1
   232 brw-------   1    8,92 /dev/c1d1p0s2
   233 brw-------   1    8,93 /dev/c1d1p0s3
   234 brw-------   1    8, 7 /dev/c1d1p1
   235 brw-------   1    8,94 /dev/c1d1p1s0
   236 brw-------   1    8,95 /dev/c1d1p1s1
   237 brw-------   1    8,96 /dev/c1d1p1s2
   238 brw-------   1    8,97 /dev/c1d1p1s3
   239 brw-------   1    8, 8 /dev/c1d1p2
   240 brw-------   1    8,98 /dev/c1d1p2s0
   241 brw-------   1    8,99 /dev/c1d1p2s1
   242 brw-------   1    8,9a /dev/c1d1p2s2
   243 brw-------   1    8,9b /dev/c1d1p2s3
   244 brw-------   1    8, 9 /dev/c1d1p3
   245 brw-------   1    8,9c /dev/c1d1p3s0
   246 brw-------   1    8,9d /dev/c1d1p3s1
   247 brw-------   1    8,9e /dev/c1d1p3s2
   248 brw-------   1    8,9f /dev/c1d1p3s3
   249 brw-------   1    8, a /dev/c1d2
   250 brw-------   1    8, b /dev/c1d2p0
   251 brw-------   1    8,a0 /dev/c1d2p0s0
   252 brw-------   1    8,a1 /dev/c1d2p0s1
   253 brw-------   1    8,a2 /dev/c1d2p0s2
   254 brw-------   1    8,a3 /dev/c1d2p0s3
   255 brw-------   1    8, c /dev/c1d2p1
   256 brw-------   1    8,a4 /dev/c1d2p1s0
   257 brw-------   1    8,a5 /dev/c1d2p1s1
   258 brw-------   1    8,a6 /dev/c1d2p1s2
   259 brw-------   1    8,a7 /dev/c1d2p1s3
   260 brw-------   1    8, d /dev/c1d2p2
   261 brw-------   1    8,a8 /dev/c1d2p2s0
   262 brw-------   1    8,a9 /dev/c1d2p2s1
   263 brw-------   1    8,aa /dev/c1d2p2s2
   264 brw-------   1    8,ab /dev/c1d2p2s3
   265 brw-------   1    8, e /dev/c1d2p3
   266 brw-------   1    8,ac /dev/c1d2p3s0
   267 brw-------   1    8,ad /dev/c1d2p3s1
   268 brw-------   1    8,ae /dev/c1d2p3s2
   269 brw-------   1    8,af /dev/c1d2p3s3
   270 brw-------   1    8, f /dev/c1d3
   271 brw-------   1    8,10 /dev/c1d3p0
   272 brw-------   1    8,b0 /dev/c1d3p0s0
   273 brw-------   1    8,b1 /dev/c1d3p0s1
   274 brw-------   1    8,b2 /dev/c1d3p0s2
   275 brw-------   1    8,b3 /dev/c1d3p0s3
   276 brw-------   1    8,11 /dev/c1d3p1
   277 brw-------   1    8,b4 /dev/c1d3p1s0
   278 brw-------   1    8,b5 /dev/c1d3p1s1
   279 brw-------   1    8,b6 /dev/c1d3p1s2
   280 brw-------   1    8,b7 /dev/c1d3p1s3
   281 brw-------   1    8,12 /dev/c1d3p2
   282 brw-------   1    8,b8 /dev/c1d3p2s0
   283 brw-------   1    8,b9 /dev/c1d3p2s1
   284 brw-------   1    8,ba /dev/c1d3p2s2
   285 brw-------   1    8,bb /dev/c1d3p2s3
   286 brw-------   1    8,13 /dev/c1d3p3
   287 brw-------   1    8,bc /dev/c1d3p3s0
   288 brw-------   1    8,bd /dev/c1d3p3s1
   289 brw-------   1    8,be /dev/c1d3p3s2
   290 brw-------   1    8,bf /dev/c1d3p3s3
   291 brw-------   1    8,14 /dev/c1d4
   292 brw-------   1    8,15 /dev/c1d4p0
   293 brw-------   1    8,c0 /dev/c1d4p0s0
   294 brw-------   1    8,c1 /dev/c1d4p0s1
   295 brw-------   1    8,c2 /dev/c1d4p0s2
   296 brw-------   1    8,c3 /dev/c1d4p0s3
   297 brw-------   1    8,16 /dev/c1d4p1
   298 brw-------   1    8,c4 /dev/c1d4p1s0
   299 brw-------   1    8,c5 /dev/c1d4p1s1
   300 brw-------   1    8,c6 /dev/c1d4p1s2
   301 brw-------   1    8,c7 /dev/c1d4p1s3
   302 brw-------   1    8,17 /dev/c1d4p2
   303 brw-------   1    8,c8 /dev/c1d4p2s0
   304 brw-------   1    8,c9 /dev/c1d4p2s1
   305 brw-------   1    8,ca /dev/c1d4p2s2
   306 brw-------   1    8,cb /dev/c1d4p2s3
   307 brw-------   1    8,18 /dev/c1d4p3
   308 brw-------   1    8,cc /dev/c1d4p3s0
   309 brw-------   1    8,cd /dev/c1d4p3s1
   310 brw-------   1    8,ce /dev/c1d4p3s2
   311 brw-------   1    8,cf /dev/c1d4p3s3
